Columns,Desc,Types,Lineage,Logic,Enum,Notes,Importance,Missing_Rate,Unique_Count,Preview
PassengerId,乘客唯一标识符,int64,原始数据,直接使用,"连续整数1-891",用于数据索引和合并,Low,0%,891,"1, 2, 3"
Survived,生存状态标签,int64,原始数据,直接使用,"0=死亡, 1=生存",目标变量,High,0%,2,"0, 1"
Pclass,船票等级,int64,原始数据,直接使用,"1=头等舱, 2=商务舱, 3=经济舱",社会经济地位代理变量,High,0%,3,"3, 1, 2"
Name,乘客姓名,object,原始数据,直接使用,自由文本,已被TitleGroup替代,Low,0%,891,"""Braund, Mr. Owen Harris"""
Sex,性别,object,原始数据,直接使用,"male, female",已被TitleGroup增强,Medium,0%,2,"male, female"
Age,原始年龄,float64,原始数据,直接使用,连续数值,已被Age_filled替代,Low,19.9%,88,"22.0, 38.0, NaN"
SibSp,船上兄弟姐妹/配偶数,int64,原始数据,直接使用,"0-8",已被FamilyType替代,Low,0%,7,"1, 0, 3"
Parch,船上父母/子女数,int64,原始数据,直接使用,"0-6",已被FamilyType替代,Low,0%,7,"0, 1, 2"
Ticket,船票号码,object,原始数据,直接使用,字母数字组合,信息价值有限,Low,0%,681,"A/5 21171, PC 17599"
Fare,船票价格,float64,原始数据,直接使用,连续数值,已被FarePerClass增强,Medium,0%,248,"7.25, 71.2833, 53.1"
Cabin,客舱号码,object,原始数据,直接使用,字母数字组合,已被Deck和HasCabin替代,Low,77.1%,147,"C85, C123, E46, NaN"
Embarked,登船港口,object,原始数据,众数填充,"C=瑟堡, Q=昆士敦, S=南安普顿",地理位置特征,Medium,0%,3,"S, C, Q"
Title,称谓原始提取,object,Name,正则提取Title,多种称谓,已被TitleGroup替代,Low,0%,17,"Mr, Mrs, Miss, Master"
TitleGroup,称谓分组,object,Title,智能分组映射,"Mr, Miss, Mrs, Master, Officer, Noble, Rare",比Sex更精细的身份标识,Very High,0%,7,"Mr, Miss, Mrs, Master"
Age_filled,智能填充年龄,float64,Age + TitleGroup + Pclass,分层中位数填充,连续数值,基于Title和等级的智能填充,High,0%,88,"22.0, 38.0, 32.0, 28.0"
AgeGroup,年龄分组,object,Age_filled,阈值分组,"Child(≤16), Young(17-32), Middle(33-50), Senior(51+)",生命阶段特征,High,0%,4,"Young, Middle, Child, Senior"
Deck,甲板层,object,Cabin,提取首字母,"A, B, C, D, E, F, G, T, Unknown",船舶位置影响逃生,High,0%,9,"C, E, Unknown, B"
HasCabin,是否有舱位信息,int64,Cabin,布尔转换,"0=无信息, 1=有信息",信息完整性反映社会地位,High,0%,2,"0, 1"
FamilySize,家庭总人数,int64,SibSp + Parch + 1,算术计算,"1-11",家庭规模基础指标,Medium,0%,7,"2, 1, 4, 3"
FamilyType,家庭类型,object,FamilySize,规模分组,"Alone(1人), Small(2-4人), Large(5+人)",家庭结构类型,High,0%,3,"Small, Alone, Large"
IsAlone,是否独自旅行,int64,FamilySize,布尔判断,"0=有同伴, 1=独自",独自旅行标识,High,0%,2,"0, 1"
FarePerClass,等级内相对票价,float64,Fare / Pclass平均Fare,相对比值计算,连续数值,同等级内价格差异,Medium,0%,248,"0.23, 2.86, 1.82, 0.95"
FareGroup,票价档次分组,object,Fare按Pclass分位数,分位数分组,"Low(0-33%), Mid(33-67%), High(67-100%)",等级内精细价格分组,Medium,0%,3,"Low, High, Mid"
AgeBin,年龄区间,object,Age_filled,等距分箱,"0-16, 17-32, 33-50, 51-80",临时分析特征,Low,0%,4,"17-32, 33-50, 0-16" 